sdk_va	sdk_names	verdict	repaired_va	method	confidence	changes_classification	classification_delta	evidence
01057430	Simulator::cTurretFlakWeapon::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cTurretFlakWeapon::WhileFiring; containing=NONE(No function found for 0x01057430); xrefs_to=0; bytes=2ce82a13c6ff8b138b424c8b3e8bcbff; prologue=False padding=False; neighbors=01056d30|01057bd0
01057960	Simulator::cDragInputProjectileToolStrategy::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDragInputProjectileToolStrategy::WhileFiring; containing=NONE(No function found for 0x01057960); xrefs_to=0; bytes=70518d4c2464d91c24518bcee82f02c6; prologue=False padding=False; neighbors=01056d30|01057bd0
01057ba0	Simulator::cPlaceObjectToolStrategy::Update	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cPlaceObjectToolStrategy::Update; containing=NONE(No function found for 0x01057ba0); xrefs_to=0; bytes=245450ffd28b1b8b038b50086a008bcb; prologue=False padding=False; neighbors=01056d30|01057bd0
01057d20	Simulator::cArtilleryWeaponStrategy::WhileFiring	repaired-contained	01057bd0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cArtilleryWeaponStrategy::WhileFiring; containing=01057bd0(off+336,tail-43,01057bd0..01057d4b,FUN_01057bd0); xrefs_to=0; bytes=ffff6a07e86756aeff8bc8e8c047ffff; prologue=False padding=False; neighbors=01057bd0|01058020
01057ff0	Simulator::cRepairAOEToolStrategy::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cRepairAOEToolStrategy::WhileFiring; containing=NONE(No function found for 0x01057ff0); xrefs_to=0; bytes=ffd08b13508bceffd28d442428508bce; prologue=False padding=False; neighbors=01057bd0|01058020
01058760	Simulator::cPlaceObjectToolStrategy::OnSelect	repaired-contained	01058680	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cPlaceObjectToolStrategy::OnSelect; containing=01058680(off+224,tail-38,01058680..01058786,FUN_01058680); xrefs_to=0; bytes=148b542418506a0083ec0c8bc4892889; prologue=False padding=False; neighbors=01058680|01058950
01058b30	Simulator::cPlaceColonyToolStrategy::Update	repaired-contained	01058950	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cPlaceColonyToolStrategy::Update; containing=01058950(off+480,tail-37,01058950..01058b55,FUN_01058950); xrefs_to=0; bytes=8b068b50048bceffd25e5b8b4424608b; prologue=False padding=False; neighbors=01058950|01058c90
010593b0	Simulator::cToolStrategy::OnHit	repaired-contained	01059170	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cToolStrategy::OnHit; containing=01059170(off+576,tail-37,01059170..010593d5,FUN_01059170); xrefs_to=0; bytes=242cd91c24518bcee883c1c3ff8b4424; prologue=False padding=False; neighbors=01059170|010593e0
01059ef0	Simulator::cDefaultBeamTool::WhileFiring	repaired-contained	010593e0	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cDefaultBeamTool::WhileFiring; containing=010593e0(off+2832,tail-22,010593e0..01059f06,FUN_010593e0); xrefs_to=0; bytes=000000e8f87d3cff5f5e5db0015b81c4; prologue=False padding=False; neighbors=010593e0|01059f20
0105a020	Simulator::cDefaultBeamTool::OnHit	repaired-contained	01059f20	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cDefaultBeamTool::OnHit; containing=01059f20(off+256,tail-37,01059f20..0105a045,FUN_01059f20); xrefs_to=0; bytes=4308d95808e846f1ffff83c41085f674; prologue=False padding=False; neighbors=01059f20|0105a050
0105a0d0	Simulator::cAbductToolStrategy::OnHit	repaired-contained	0105a050	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cAbductToolStrategy::OnHit; containing=0105a050(off+128,tail-43,0105a050..0105a0fb,FUN_0105a050); xrefs_to=0; bytes=e8db1cffff518d542408d91c2452e84d; prologue=False padding=False; neighbors=0105a050|0105a110
0105a850	Simulator::cScanToolStrategy::OnHit	repaired-contained	0105a110	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cScanToolStrategy::OnHit; containing=0105a110(off+1856,tail-27,0105a110..0105a86b,FUN_0105a110); xrefs_to=0; bytes=aeff8bc8e837d5f0ff8bc8e890d3c1ff; prologue=False padding=False; neighbors=0105a110|0105a890
0105aa10	Simulator::cDropCargoToolStrategy::WhileFiring	repaired-contained	0105a890	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cDropCargoToolStrategy::WhileFiring; containing=0105a890(off+384,tail-63,0105a890..0105aa4f,FUN_0105a890); xrefs_to=0; bytes=2401000085c97405e893b1c5ff84db5b; prologue=False padding=False; neighbors=0105a890|0105b350
0105b0b0	Simulator::cEnergyRepairToolStrategy::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cEnergyRepairToolStrategy::OnHit; containing=NONE(No function found for 0x0105b0b0); xrefs_to=0; bytes=8bcfe86975a7ff508b46145053e8de80; prologue=False padding=False; neighbors=0105a890|0105b350
0105b140	Simulator::cRepairToolStrategy::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cRepairToolStrategy::OnHit; containing=NONE(No function found for 0x0105b140); xrefs_to=0; bytes=070000f30f114424147626d94424148b; prologue=False padding=False; neighbors=0105a890|0105b350
0105b200	Simulator::cGetOutOfUFOToolStrategy::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cGetOutOfUFOToolStrategy::OnHit; containing=NONE(No function found for 0x0105b200); xrefs_to=0; bytes=d91c24e8981fbaff6a0ce8c179faff8b; prologue=False padding=False; neighbors=0105a890|0105b350
0105b310	Simulator::cDefaultProjectileWeapon::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cDefaultProjectileWeapon::OnHit; containing=NONE(No function found for 0x0105b310); xrefs_to=0; bytes=e85badfbffe8861762ff8bf8e87f1762; prologue=False padding=False; neighbors=0105a890|0105b350
0105b660	Simulator::cDragInputProjectileToolStrategy::OnHit	repaired-contained	0105b350	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cDragInputProjectileToolStrategy::OnHit; containing=0105b350(off+784,tail-56,0105b350..0105b698,FUN_0105b350); xrefs_to=0; bytes=c4d91855d94304d95804d94308d95808; prologue=False padding=False; neighbors=0105b350|0105b6a0
0105b670	Simulator::cPlaceColonyToolStrategy::WhileAiming	repaired-contained	0105b350	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cPlaceColonyToolStrategy::WhileAiming; containing=0105b350(off+800,tail-40,0105b350..0105b698,FUN_0105b350); xrefs_to=0; bytes=e8fbdaffff83c410b0015f5e5d5b83c4; prologue=False padding=False; neighbors=0105b350|0105b6a0
0105b930	Simulator::cPlaceColonyToolStrategy::OnHit	repaired-contained	0105b6a0	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->GAMEPLAY_LOGIC|P3|CONFIRMED	sdk=Simulator::cPlaceColonyToolStrategy::OnHit; containing=0105b6a0(off+656,tail-32,0105b6a0..0105b950,FUN_0105b6a0); xrefs_to=0; bytes=1451e8b96effff8b4c241c8b118b4204; prologue=False padding=False; neighbors=0105b6a0|0105ba00
0105b9d0	Simulator::cPlaceObjectToolStrategy::WhileAiming	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cPlaceObjectToolStrategy::WhileAiming; containing=NONE(No function found for 0x0105b9d0); xrefs_to=0; bytes=8bf0e8b956fcff5068908c05018bcee8; prologue=False padding=False; neighbors=0105b6a0|0105ba00
0105bc40	Simulator::cPlaceObjectToolStrategy::OnHit	repaired-contained	0105ba00	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::cPlaceObjectToolStrategy::OnHit; containing=0105ba00(off+576,tail-40,0105ba00..0105bc68,FUN_0105ba00); xrefs_to=0; bytes=688128ab9051e8a56bffff8b4c243083; prologue=False padding=False; neighbors=0105ba00|0105c3d0
0105bcd0	Simulator::cArtilleryWeaponStrategy::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cArtilleryWeaponStrategy::OnHit; containing=NONE(No function found for 0x0105bcd0); xrefs_to=0; bytes=e88bc8f9ff83c40c5fb0015ec210008b; prologue=False padding=False; neighbors=0105ba00|0105c3d0
0105bcf0	Simulator::cMindEraseToolStrategy::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cMindEraseToolStrategy::OnHit; containing=NONE(No function found for 0x0105bcf0); xrefs_to=0; bytes=c4085fb0015ec210005f32c05ec21000; prologue=False padding=False; neighbors=0105ba00|0105c3d0
0105bf20	Simulator::cGenesisDeviceToolStrategy::OnHit	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cGenesisDeviceToolStrategy::OnHit; containing=NONE(No function found for 0x0105bf20); xrefs_to=0; bytes=8b118b4204ffd05d5fb0015b83c46cc2; prologue=False padding=False; neighbors=0105ba00|0105c3d0
0105bf80	Simulator::cRallyCallToolStrategy::WhileFiring	adjudicated-dead-address	NULL	no-container-no-callers-no-prologue	low	False	no-triage-row-affected	sdk=Simulator::cRallyCallToolStrategy::WhileFiring; containing=NONE(No function found for 0x0105bf80); xrefs_to=0; bytes=017516578bcee8253eacff8bc8e8bea4; prologue=False padding=False; neighbors=0105ba00|0105c3d0
01065a60	Simulator::GalaxyCoordinatesTo3D	repaired-contained	01065a50	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=Simulator::GalaxyCoordinatesTo3D; containing=01065a50(off+16,tail-78,01065a50..01065aae,FUN_01065a50); xrefs_to=0; bytes=05e0905b01f30f5905ccff4001090534; prologue=False padding=False; neighbors=01065a50|01065ab0
0106e410	UI::SpaceGameUI::SetActivePalette	repaired-contained	0106e3e0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=UI::SpaceGameUI::SetActivePalette; containing=0106e3e0(off+48,tail-454,0106e3e0..0106e5d6,FUN_0106e3e0); xrefs_to=0; bytes=018bc88b42286a04ffd08bcfe81f9dff; prologue=False padding=False; neighbors=0106e3e0|0106e5e0
01073730	UI::SpaceGameUI::Load	repaired-contained	01073700	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->GAMEPLAY_LOGIC|P1|CONFIRMED	sdk=UI::SpaceGameUI::Load; containing=01073700(off+48,tail-3180,01073700..0107439c,FUN_01073700); xrefs_to=0; bytes=49016816716c106804007d2fe8df2b79; prologue=False padding=False; neighbors=01073700|010743a0
01082a20	UTFWin::TreeNode::func30h	repaired-contained	01082a10	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->ENGINE_INTERFACE|P3|CONFIRMED	sdk=UTFWin::TreeNode::func30h; containing=01082a10(off+16,tail-23,01082a10..01082a37,FUN_01082a10); xrefs_to=0; bytes=b756048b0d78416e018b016a125256ff; prologue=False padding=False; neighbors=01082a10|01082a40
010e87e0	IO::StreamNull::GetAccessFlags	repaired-contained	010e86c0	containing-function-fallback	medium	True	ENGINE_IMPLEMENTATION|P1|INFERRED->ENGINE_INTERFACE|P3|CONFIRMED	sdk=IO::StreamNull::GetAccessFlags; containing=010e86c0(off+288,tail-66,010e86c0..010e8822,FUN_010e86c0); xrefs_to=0; bytes=5c24288b542428d9465c89542438d80d; prologue=False padding=False; neighbors=010e86c0|010e8830
